题目ID,文件名称,相对文件路径,年份,试卷类型,试卷名称,原卷题号,知识板块,标签,包含TikZ绘图,题型,难度星级,包含解析,组卷引用次数,备注,初次录入的时间,最后修改时间,题干,答案,解析
246,2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-11-解三角形,解三角形\2026\2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-11-解三角形.tex,2026,M,江苏南京市、盐城市2026届高三年级第一次模拟考试,11,解三角形,,否,选择题,,是,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"在 $\triangle ABC$ 中，角 $A,B,C$ 所对的边分别为 $a,b,c$．已知 $a=2\sqrt{2}\sin A$，三角形的面积为 2，下列说法正确的是
(\hspace{1cm})
\begin{choices}
\choice{{$abc=8\sqrt{2}$}}
\choice{{ $a^2+b^2\ge c^2$}}
\choice{{当 $a$ 最小时，$\sin A+\sin A\cos A=1$ }}
\choice{{当 $a=b$ 时，$\sin A+\sin B=\sqrt{2}\sin C$}}
\end{choices}",,"对于选项 A：
由面积公式 $S=\dfrac{1}{2}ab\sin C=2$，得 $ab\sin C=4$.
由正弦定理 $\dfrac{a}{\sin A}=\dfrac{b}{\sin B}=\dfrac{c}{\sin C}=2\sqrt{2}$，可得 $\sin C=\dfrac{c}{2\sqrt{2}}$.
代入前式得 $ab \cdot \dfrac{c}{2\sqrt{2}}=4$，解得 $abc=8\sqrt{2}$. 故 A 正确。

对于选项 B：
由 $ab\sin C=4$ 且 $\sin C \leqslant 1$，必有 $ab \geqslant 4$.
又 $c = \dfrac{abc}{ab} = \dfrac{8\sqrt{2}}{ab} \implies c^2 = \dfrac{128}{(ab)^2}$.
利用基本不等式放缩：
$$
a^2+b^2-c^2 \geqslant 2ab-\dfrac{128}{(ab)^2} \geqslant 2(4)-\dfrac{128}{4^2} = 8-8 = 0.
$$
即 $a^2+b^2 \geqslant c^2$. 故 B 正确。

对于选项 C：
由正弦定理，$a$ 最小等价于 $\sin A$ 最小。
将 $a=2\sqrt{2}\sin A, b=2\sqrt{2}\sin B, c=2\sqrt{2}\sin C$ 代入 $abc=8\sqrt{2}$，得：
$$
16\sqrt{2}\sin A\sin B\sin C=8\sqrt{2} \implies 2\sin A\sin B\sin C=1.
$$
利用积化和差与 $B+C=\pi-A$ 进行变形：
$$
\sin A[\cos(B-C)-\cos(B+C)] = \sin A[\cos(B-C)+\cos A] = 1.
$$
由于 $\cos(B-C) \leqslant 1$，必然有 $\sin A(1+\cos A) \geqslant 1$，即 $\sin A+\sin A\cos A \geqslant 1$.
设 $g(x)=\sin x+\sin x\cos x-1$，求导得 $g'(x)=(\cos x+1)(2\cos x-1)$.
可知 $g(x)$ 在 $\left(0,\dfrac{\pi}{3}\right)$ 单调递增，在 $\left(\dfrac{\pi}{3},\dfrac{\pi}{2}\right]$ 单调递减，且 $g(0)=-1, g\left(\dfrac{\pi}{2}\right)=0$。
故在 $\left(0,\dfrac{\pi}{2}\right)$ 内存在唯一极小根 $x_0$ 使 $g(x_0)=0$。此时 $\sin A$ 取到满足条件的最小值。
故当 $a$ 最小时，等号成立，必有 $\sin A+\sin A\cos A=1$. 故 C 正确。

对于选项 D：
若 $a=b$，则 $A=B$。同理于 C 的推导，剥离变量 $C$ 必有 $\sin C(1+\cos C)=1$.
由上述函数性质知，$C$ 的解为 $C=x_0$（某锐角）或 $C=\dfrac{\pi}{2}$.
若 D 选项成立，则 $2\sin A=\sqrt{2}\sin C \implies 2a=\sqrt{2}c \implies c^2=2a^2=a^2+b^2$.
这要求 $C$ 必须恒为 $\dfrac{\pi}{2}$。但这忽略了方程还有锐角根 $C=x_0$ 的情况，此时 $D$ 选项的等式不成立。故 D 错误。

综上所述，正确的选项为 A、B、C。"
247,2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-12-立体几何,立体几何\2026\2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-12-立体几何.tex,2026,M,江苏南京市、盐城市2026届高三年级第一次模拟考试,12,立体几何,,否,填空题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,在直三棱柱 $ABC-A_1B_1C_1$ 中，已知 $AB=AC=3$，$BC=BB_1=2$，则异面直线 $AB$ 与 $B_1C$ 所成角的余弦值为 \underline{\hspace{4em}}．,,
248,2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-13-圆锥曲线,圆锥曲线\2026\2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-13-圆锥曲线.tex,2026,M,江苏南京市、盐城市2026届高三年级第一次模拟考试,13,圆锥曲线,,否,填空题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"在平面直角坐标系 $xOy$ 中，已知椭圆 $C:\dfrac{x^2}{a^2}+\dfrac{y^2}{b^2}=1$（$a>b>0$）的上、下顶点分别为 $A,B$，右焦点为 $F$，线段 $BF$ 的延长线与 $C$ 交于点 $P$，若 $PA=PO$，则 $C$ 的离心率为 \underline{\hspace{4em}}．",,
249,2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-14-概率,概率\2026\2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-14-概率.tex,2026,M,江苏南京市、盐城市2026届高三年级第一次模拟考试,14,概率,,否,填空题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"设正整数 $n=a_k\cdot2^k+a_{k-1}\cdot2^{k-1}+\cdots+a_1\cdot2^1+a_0\cdot2^0$，其中 $a_i\in\{0,1\}$，$i=0,1,2,\cdots,k$．记 $\omega(n)=a_0+a_1+\cdots+a_k$．从集合 $\{x\in\mathbb{N}^*\mid x\le2000\}$ 中随机抽取一个数 $n$，则 $\omega(n)\le3$ 的概率为 \underline{\hspace{4em}}．",,
250,2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-2-向量,向量\2026\2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-2-向量.tex,2026,M,江苏南京市、盐城市2026届高三年级第一次模拟考试,2,向量,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知向量 $\boldsymbol{a}=(0,1)$，$\boldsymbol{b}=(2,x)$，若 $\boldsymbol{b}\perp(\boldsymbol{b}-4\boldsymbol{a})$，则 $x=$
(\hspace{1cm})
\begin{choices}
\choice{{$-2$}}
\choice{{$-1$}}
\choice{{$1$}}
\choice{{$2$}}
\end{choices}",,
251,2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-3-逻辑,逻辑\2026\2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-3-逻辑.tex,2026,M,江苏南京市、盐城市2026届高三年级第一次模拟考试,3,逻辑,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知 $a,b\in\mathbb{R}$，则“$a+b>2$”是“$a>1$ 且 $b>1$”的
(\hspace{1cm})
\begin{choices}
\choice{{充分不必要条件}}
\choice{{必要不充分条件 }}
\choice{{充要条件}}
\choice{{既不充分也不必要条件}}
\end{choices}",,
252,2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-4-圆锥曲线,圆锥曲线\2026\2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-4-圆锥曲线.tex,2026,M,江苏南京市、盐城市2026届高三年级第一次模拟考试,4,圆锥曲线,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知双曲线 $C:\dfrac{x^2}{a^2}-\dfrac{y^2}{b^2}=1$（$a>0,b>0$）的渐近线方程为 $y=\pm\sqrt{3}x$，且实轴长为 2，则焦距为
(\hspace{1cm})
\begin{choices}
\choice{{$\sqrt{3}$}}
\choice{{$2$}}
\choice{{$2\sqrt{3}$}}
\choice{{$4$}}
\end{choices}",,
253,2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-5-立体几何,立体几何\2026\2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-5-立体几何.tex,2026,M,江苏南京市、盐城市2026届高三年级第一次模拟考试,5,立体几何,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知圆锥的轴截面是直角三角形，且该圆锥的顶点和底面的圆周都在球 $O$ 的球面上，则该圆锥与球 $O$ 的体积之比为(\hspace{1cm})
\begin{choices}
\choice{{$\dfrac{1}{6}$}}
\choice{{$\dfrac{1}{4}$}}
\choice{{$\dfrac{1}{3}$}}
\choice{{$\dfrac{1}{2}$}}
\end{choices}",,
254,2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-6-数列,数列\2026\2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-6-数列.tex,2026,M,江苏南京市、盐城市2026届高三年级第一次模拟考试,6,数列,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"若等差数列 $\{a_n\}$ 的前 $n$ 项和为 $S_n$，且 $\dfrac{S_4 S_1}{S_1^2}=\dfrac{7}{4}$，则 $\dfrac{S_3}{S_4}=$
(\hspace{1cm})
\begin{choices}
\choice{{$-2$}}
\choice{{$-\dfrac{1}{2}$}}
\choice{{$\dfrac{1}{2}$}}
\choice{{$2$}}
\end{choices}",,
255,2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-7-三角函数,三角函数\2026\2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-7-三角函数.tex,2026,M,江苏南京市、盐城市2026届高三年级第一次模拟考试,7,三角函数,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"设 $\sigma$ 和 $\tau$ 表示坐标平面内的几何变换，$\sigma$ 表示将几何对象绕原点 $O$ 逆时针旋转 $\dfrac{\pi}{12}$，$\tau$ 表示几何对象关于 $y$ 轴对称，$\sigma^k$（$k\in\mathbb{N}^*$）表示连续 $k$ 次 $\sigma$ 变换．已知角 $\alpha$ 的终边经过点 $(-2,1)$，若对角 $\alpha$ 的终边先进行 $\tau$ 变换，再进行 $\sigma^3$ 变换，得到角 $\beta$ 的终边，则 $\tan\beta=$
(\hspace{1cm})
\begin{choices}
\choice{{$-3$}}
\choice{{ $-\dfrac{1}{3}$}}
\choice{{ $\dfrac{1}{3}$}}
\choice{{$3$}}
\end{choices}",,
256,2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-8-导数,导数\2026\2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-8-导数.tex,2026,M,江苏南京市、盐城市2026届高三年级第一次模拟考试,8,导数,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知函数 $f(x)=(x^2-kx+k-2)e^x+(k-2)e^2$，若存在 $x_0<2$，对于任意 $x\in(x_0,2)$ 都有 $f(x)<0$，则实数 $k$ 的取值范围是
(\hspace{1cm})
\begin{choices}
\choice{{$(-\infty,3)$}}
\choice{{$(-3,0)$}}
\choice{{$(0,3)$}}
\choice{{$(-3,+\infty)$}}
\end{choices}",,
257,2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-9-复数,复数\2026\2026-M-江苏南京市、盐城市2026届高三年级第一次模拟考试-9-复数.tex,2026,M,江苏南京市、盐城市2026届高三年级第一次模拟考试,9,复数,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知复数 $z=a+bi$，$a,b\in\mathbb{R}$，且 $b\ne0$，下列说法正确的是
(\hspace{1cm})
\begin{choices}
\choice{{$z-\overline{z}$ 是纯虚数}}
\choice{{$z^2$ 是实数 }}
\choice{{$z\cdot i$ 是虚数}}
\choice{{若 $|z|=1$，则 $z+\dfrac{1}{z}$ 是实数}}
\end{choices}",,
258,2026-M-深圳中学2026届高三二轮二阶测试-1-集合,集合\2026\2026-M-深圳中学2026届高三二轮二阶测试-1-集合.tex,2026,M,深圳中学2026届高三二轮二阶测试,1,集合,,否,选择题,,是,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知集合 $A=\{x|\log_2 x<1\}$，$B=\{x|3x-1>0\}$，则 $A\cup B=$ (\hspace{1cm})
\begin{choices}
\choice{{$\left(\dfrac{1}{3},2\right]$}}
\choice{{$\left(\dfrac{1}{3},+\infty\right)$}}
\choice{{$(0,+\infty)$}}
\choice{{$\mathbb{R}$}}
\end{choices}",$C$,"解对数不等式 $\log_2 x < 1$, 所以 $0 < x < 2$,即 $A = (0, 2)$.

解一次不等式 $3x - 1 > 0$, 所以 $x > \displaystyle \dfrac{1}{3}$,即 $B = \left(\displaystyle \dfrac{1}{3}, +\infty\right)$.

求集合的并集 $A \cup B = (0, 2) \cup \left(\displaystyle \dfrac{1}{3}, +\infty\right) = (0, +\infty)$.

故选 $C$."
259,2026-M-深圳中学2026届高三二轮二阶测试-10-圆锥曲线,圆锥曲线\2026\2026-M-深圳中学2026届高三二轮二阶测试-10-圆锥曲线.tex,2026,M,深圳中学2026届高三二轮二阶测试,10,圆锥曲线,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"某彗星的运行轨道是以太阳为一个焦点的椭圆，测得轨道的近日点（距离太阳最近的点）与太阳中心的距离为 $d_1$，远日点（距离太阳最远的点）与太阳中心的距离为 $d_2$，并且近日点、远日点及太阳中心在同一条直线上，则(\hspace{1cm})
\begin{choices}
\choice{{轨道的焦距为 $d_1+d_2$}}
\choice{{轨道的离心率为 $\dfrac{d_2-d_1}{d_2+d_1}$}}
\choice{{轨道的短轴长为 $2\sqrt{d_1d_2}$}}
\choice{{当 $\dfrac{d_1}{d_2}$ 越大时，轨道越扁}}
\end{choices}",,
260,2026-M-深圳中学2026届高三二轮二阶测试-11-三角函数,三角函数\2026\2026-M-深圳中学2026届高三二轮二阶测试-11-三角函数.tex,2026,M,深圳中学2026届高三二轮二阶测试,11,三角函数,,否,选择题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"已知角 $\alpha$，$\beta$ 满足 $\tan\alpha\cdot\tan\beta=\tan(\alpha+\beta)$，则 (\hspace{1cm})
\begin{choices}
\choice{{存在 $\alpha$ 在第一象限，$\beta$ 在第三象限}}
\choice{{存在 $\alpha$ 在第一象限，$\beta$ 在第四象限}}
\choice{{存在 $\alpha$ 在第二象限，$\beta$ 在第三象限}}
\choice{{存在 $\alpha$ 在第二象限，$\beta$ 在第四象限}}
\end{choices}",,
261,2026-M-深圳中学2026届高三二轮二阶测试-12-概率,概率\2026\2026-M-深圳中学2026届高三二轮二阶测试-12-概率.tex,2026,M,深圳中学2026届高三二轮二阶测试,12,概率,,否,填空题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,"设随机变量 $\xi$ 服从正态分布 $N(2,1)$，若 $P(\xi>a+1)=P(\xi<a)$，则 $a=$\underline{\hspace{4em}}",,
262,2026-M-深圳中学2026届高三二轮二阶测试-13-立体几何,立体几何\2026\2026-M-深圳中学2026届高三二轮二阶测试-13-立体几何.tex,2026,M,深圳中学2026届高三二轮二阶测试,13,立体几何,,否,填空题,,否,0,,2026-07-07 19:49:04,2026-07-07 19:49:04,若四面体 $ABCD$ 中，$AB=CD=\sqrt{5}$，$BC=DA=\sqrt{10}$，$AC=DB=\sqrt{13}$，则四面体 $ABCD$ 的体积是 \underline{\hspace{4em}}.,,
